2021-12-07 13:34:46,509 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:35:11,753 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873311.753214, 'user': {'account_name': 'Guest'}}
2021-12-07 13:35:11,754 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:36:01,390 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873361.389832, 'user': {'account_name': 'Guest'}}
2021-12-07 13:36:01,391 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:36:10,027 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873370.026554, 'user': {'account_name': 'Guest'}}
2021-12-07 13:36:10,027 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:36:45,772 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873405.771469, 'user': {'account_name': 'Guest'}}
2021-12-07 13:36:45,772 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:36:57,363 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873417.362607, 'user': {'account_name': 'Guest'}}
2021-12-07 13:36:57,363 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:37:23,324 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638873443.323436, 'user': {'account_name': 'Guest'}}
2021-12-07 13:37:23,324 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 13:46:44,219 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638874004.2179961, 'user': {'account_name': 'Guest'}}
2021-12-07 13:46:44,220 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:04:39,072 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900279.066083, 'user': {'account_name': 'Guest'}}
2021-12-07 21:04:39,073 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:05:09,274 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900309.272981, 'user': {'account_name': 'Guest'}}
2021-12-07 21:05:09,275 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:06:35,509 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900395.507673, 'user': {'account_name': 'Guest'}}
2021-12-07 21:06:35,511 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:07:57,572 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900477.5674539, 'user': {'account_name': 'Guest'}}
2021-12-07 21:07:57,573 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:11:56,786 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900716.785443, 'user': {'account_name': 'Guest'}}
2021-12-07 21:11:56,787 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:14:44,954 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900884.953774, 'user': {'account_name': 'Guest'}}
2021-12-07 21:14:44,955 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:14:46,402 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900886.401613, 'user': {'account_name': 'Guest'}}
2021-12-07 21:14:46,403 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
2021-12-07 21:14:47,018 DEBUG    server.py CLIENT MESSAGE: Получено сообщение от клиента {'action': 'presence', 'time': 1638900887.018193, 'user': {'account_name': 'Guest'}}
2021-12-07 21:14:47,019 DEBUG    server.py SERVER RESPONSE: {'response': 200} was sended!
